price_date,ticker,last_price
31/08/2016,VIX Index,13.42
30/08/2016,VIX Index,13.12
29/08/2016,VIX Index,12.94
26/08/2016,VIX Index,13.65
25/08/2016,VIX Index,13.63
24/08/2016,VIX Index,13.45
23/08/2016,VIX Index,12.38
22/08/2016,VIX Index,12.27
19/08/2016,VIX Index,11.34
18/08/2016,VIX Index,11.43
17/08/2016,VIX Index,12.19
16/08/2016,VIX Index,12.64
15/08/2016,VIX Index,11.81
12/08/2016,VIX Index,11.55
11/08/2016,VIX Index,11.68
10/08/2016,VIX Index,12.05
09/08/2016,VIX Index,11.66
08/08/2016,VIX Index,11.5
05/08/2016,VIX Index,11.39
04/08/2016,VIX Index,12.42
03/08/2016,VIX Index,12.86
02/08/2016,VIX Index,13.37
01/08/2016,VIX Index,12.44
29/07/2016,VIX Index,11.87
28/07/2016,VIX Index,12.72
27/07/2016,VIX Index,12.83
26/07/2016,VIX Index,13.05
25/07/2016,VIX Index,12.87
22/07/2016,VIX Index,12.02
21/07/2016,VIX Index,12.74
20/07/2016,VIX Index,11.77
19/07/2016,VIX Index,11.97
18/07/2016,VIX Index,12.44
15/07/2016,VIX Index,12.67
14/07/2016,VIX Index,12.82
13/07/2016,VIX Index,13.04
12/07/2016,VIX Index,13.55
11/07/2016,VIX Index,13.54
08/07/2016,VIX Index,13.2
07/07/2016,VIX Index,14.76
06/07/2016,VIX Index,14.96
05/07/2016,VIX Index,15.58
04/07/2016,VIX Index,15.175
01/07/2016,VIX Index,14.77
30/06/2016,VIX Index,15.63
29/06/2016,VIX Index,16.64
28/06/2016,VIX Index,18.75
27/06/2016,VIX Index,23.85
24/06/2016,VIX Index,25.76
23/06/2016,VIX Index,17.25
22/06/2016,VIX Index,21.17
21/06/2016,VIX Index,18.48
20/06/2016,VIX Index,18.37
17/06/2016,VIX Index,19.41
16/06/2016,VIX Index,19.37
15/06/2016,VIX Index,20.14
14/06/2016,VIX Index,20.5
13/06/2016,VIX Index,20.97
10/06/2016,VIX Index,17.03
09/06/2016,VIX Index,14.64
08/06/2016,VIX Index,14.08
07/06/2016,VIX Index,14.05
06/06/2016,VIX Index,13.65
